Books Names,Books Prices,Book Stars,Book URLs
A Light in the Attic,£51.77,3,"https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"
Tipping the Velvet,£53.74,1,"https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
"
Soumission,£50.10,1,"https://books.toscrape.com/catalogue/soumission_998/index.html
"
Sharp Objects,£47.82,4,"https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"
Sapiens: A Brief History of Humankind,£54.23,5,"https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
"
The Requiem Red,£22.65,1,"https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
"
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4,"https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3,"https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4,"https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
"
The Black Maria,£52.15,1,"https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2,"https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
"
Shakespeare's Sonnets,£20.66,4,"https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
"
Set Me Free,£17.46,5,"https://books.toscrape.com/catalogue/set-me-free_988/index.html
"
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5,"https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
"
Rip it Up and Start Again,£35.02,5,"https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3,"https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
"
Olio,£23.88,1,"https://books.toscrape.com/catalogue/olio_984/index.html
"
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1,"https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
"
Libertarianism for Beginners,£51.33,2,"https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
"
It's Only the Himalayas,£45.17,2,"https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
"
In Her Wake,£12.84,1,"https://books.toscrape.com/catalogue/in-her-wake_980/index.html
"
How Music Works,£37.32,2,"https://books.toscrape.com/catalogue/how-music-works_979/index.html
"
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3,"https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
"
Chase Me (Paris Nights #2),£25.27,5,"https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
"
Black Dust,£34.53,5,"https://books.toscrape.com/catalogue/black-dust_976/index.html
"
Birdsong: A Story in Pictures,£54.64,3,"https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
"
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3,"https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
"
Aladdin and His Wonderful Lamp,£53.13,3,"https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
"
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5,"https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
"
Wall and Piece,£44.18,4,"https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
"
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,5,"https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
"
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3,"https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
"
The Elephant Tree,£23.82,5,"https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
"
The Bear and the Piano,£36.89,1,"https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
"
Sophie's World,£15.94,5,"https://books.toscrape.com/catalogue/sophies-world_966/index.html
"
Penny Maybe,£33.29,3,"https://books.toscrape.com/catalogue/penny-maybe_965/index.html
"
Maude (1883-1993):She Grew Up with the country,£18.02,2,"https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"
"In a Dark, Dark Wood",£19.63,1,"https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
"
Behind Closed Doors,£52.22,4,"https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
"
You can't bury them all: Poems,£33.63,2,"https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
"
Slow States of Collapse: Poems,£57.31,3,"https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
"
Reasons to Stay Alive,£26.41,2,"https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
"
Private Paris (Private #10),£47.61,5,"https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
"
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5,"https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
"
Without Borders (Wanderlove #1),£45.07,2,"https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
"
When We Collided,£31.77,1,"https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"
"We Love You, Charlie Freeman",£50.27,5,"https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
"
Untitled Collection: Sabbath Poems 2014,£14.27,4,"https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,4,"https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
"
Unicorn Tracks,£18.78,3,"https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,1,"https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,1,"https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
"
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,3,"https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
"
This One Summer,£19.49,4,"https://books.toscrape.com/catalogue/this-one-summer_947/index.html
"
Thirst,£17.27,5,"https://books.toscrape.com/catalogue/thirst_946/index.html
"
The Torch Is Passed: A Harding Family Story,£19.09,1,"https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
"
The Secret of Dreadwillow Carse,£56.13,1,"https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,1,"https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
"
The Past Never Ends,£56.50,4,"https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
"
The Natural History of Us (The Fine Art of Pretending #2),£45.22,3,"https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
"
The Nameless City (The Nameless City #1),£38.16,4,"https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"
The Murder That Never Was (Forensic Instincts #5),£54.11,3,"https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
"
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,4,"https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,4,"https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,3,"https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,5,"https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
"
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,1,"https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
"
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,1,"https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
"
The Death of Humanity: and the Case for Life,£58.11,4,"https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,3,"https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
"
The Art Forger,£40.76,3,"https://books.toscrape.com/catalogue/the-art-forger_930/index.html
"
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,1,"https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
"
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,5,"https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
"
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,4,"https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
"
Soul Reader,£39.58,2,"https://books.toscrape.com/catalogue/soul-reader_926/index.html
"
Security,£39.25,2,"https://books.toscrape.com/catalogue/security_925/index.html
"
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,3,"https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,2,"https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
"
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,2,"https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,3,"https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,5,"https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"
Princess Between Worlds (Wide-Awake Princess #5),£13.34,5,"https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"
"Pop Gun War, Volume 1: Gift",£18.97,1,"https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,2,"https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
"
Patience,£10.16,3,"https://books.toscrape.com/catalogue/patience_916/index.html
"
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,4,"https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
"
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,1,"https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,1,"https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
"
On a Midnight Clear,£14.07,3,"https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
"
Obsidian (Lux #1),£14.86,2,"https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
"
My Paris Kitchen: Recipes and Stories,£33.37,2,"https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
"
Masks and Shadows,£56.40,2,"https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,4,"https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,2,"https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,3,"https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
"
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,2,"https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,1,"https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
"
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,2,"https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
"
Join,£35.67,5,"https://books.toscrape.com/catalogue/join_902/index.html
"
In the Country We Love: My Family Divided,£22.00,4,"https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
"
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,5,"https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,2,"https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
"
I am a Hero Omnibus Volume 1,£54.63,3,"https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
"
How to Be Miserable: 40 Strategies You Already Use,£46.03,1,"https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
"
Her Backup Boyfriend (The Sorensen Family #1),£33.97,1,"https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,2,"https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
"
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,3,"https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
"
First and First (Five Boroughs #3),£15.97,4,"https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
"
Fifty Shades Darker (Fifty Shades #2),£21.96,1,"https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
"
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,2,"https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
"
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,2,"https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
"
Danganronpa Volume 1,£51.99,4,"https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
"
Crown of Midnight (Throne of Glass #2),£43.29,3,"https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
"
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,4,"https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
"
Camp Midnight,£17.08,4,"https://books.toscrape.com/catalogue/camp-midnight_886/index.html
"
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,5,"https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
"
Burning,£28.81,3,"https://books.toscrape.com/catalogue/burning_884/index.html
"
Bossypants,£49.46,2,"https://books.toscrape.com/catalogue/bossypants_883/index.html
"
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,2,"https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
"
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,2,"https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
"
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,1,"https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
"
A World of Flavor: Your Gluten Free Passport,£42.95,1,"https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
"
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,5,"https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
"
A Murder in Time,£16.64,1,"https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
"
A Flight of Arrows (The Pathfinders #2),£55.53,5,"https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
"
A Fierce and Subtle Poison,£28.13,4,"https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
"
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,1,"https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
"
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,5,"https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html
"
You Are What You Love: The Spiritual Power of Habit,£21.87,4,"https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
"
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,4,"https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
"
Tuesday Nights in 1980,£21.04,2,"https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
"
Tracing Numbers on a Train,£41.60,3,"https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html
"
Throne of Glass (Throne of Glass #1),£35.07,3,"https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
"
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,1,"https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
"
Thirteen Reasons Why,£52.72,1,"https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html
"
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,4,"https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
"
The Wedding Dress,£24.12,1,"https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
"
The Vacationers,£42.15,4,"https://books.toscrape.com/catalogue/the-vacationers_863/index.html
"
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,5,"https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
"
The Stranger,£17.44,4,"https://books.toscrape.com/catalogue/the-stranger_861/index.html
"
